state,pop,pop_18,pop_60
Malaysia,32657400,23409600,3502000
Johor,3781000,2711900,428700
Kedah,2185100,1540600,272500
Kelantan,1906700,1236200,194100
Melaka,932700,677400,118500
Negeri Sembilan,1128800,814400,145000
Pahang,1678700,1175800,190200
Penang,1773600,1367200,239200
Perak,2510300,1862700,397300
Perlis,254900,181200,35100
Selangor,6538000,4747900,575800
Terengganu,1259300,808400,115200
Sabah,3908500,2758400,238900
Sarawak,2816500,2042700,332800
Kuala Lumpur,1773700,1348600,205800
Labuan,99600,68500,7900
Putrajaya,110000,67700,5000
